FOE,DisciplineAb,Discipline,Colour,X,Y,alpha
"AGRICULTURAL, ENVIRONMENTAL AND RELATED STUDIES",Agr,Agriculture,#4BB6FF,0.1733,0.6775,0
"AGRICULTURAL, ENVIRONMENTAL AND RELATED STUDIES",EnS,Environmental Studies,#4BB6FF,0.3598,0.3232,0
"AGRICULTURAL, ENVIRONMENTAL AND RELATED STUDIES",For,Forestry Studies,#4BB6FF,0.0443,0.5882,0
"AGRICULTURAL, ENVIRONMENTAL AND RELATED STUDIES",Fsh,Fisheries Studies,#4BB6FF,0.0505,0.1321,0
"AGRICULTURAL, ENVIRONMENTAL AND RELATED STUDIES",HrV,Horticulture and Viticulture,#4BB6FF,0.0901,0.4561,0
"AGRICULTURAL, ENVIRONMENTAL AND RELATED STUDIES",OAg,"Other Agricultural, Environmental and Related Studies",#4BB6FF,0.0451,0.7762,0
ARCHITECTURE AND BUILDING,ArU,Architecture and Urban Environment,#B3203F,0.5548,0.5657,0
ARCHITECTURE AND BUILDING,Blg,Building,#B3203F,0.3046,0.8873,0
CREATIVE ARTS,C&M,Communication and Media Studies,#FF8003,0.857,0.7125,0.5
CREATIVE ARTS,GDs,Graphic and Design Studies,#FF8003,0.4056,0.62,0
CREATIVE ARTS,OCA,Other Creative Arts,#FF8003,0.3364,0.6045,0
CREATIVE ARTS,Par,Performing Arts,#FF8003,0.4375,0.3629,0
CREATIVE ARTS,VAC,Visual Arts and Crafts,#FF8003,0.3706,0.2929,0
EDUCATION,CES,Curriculum and Education Studies,#3B3C98,0.6169,0.6985,0
EDUCATION,OtE,Other Education,#3B3C98,0.202,0.7257,0
EDUCATION,TEd,Teacher Education,#3B3C98,0.899,0.2176,0
ENGINEERING AND RELATED STUDIES,AeE,Aerospace Engineering and Technology,#52818E,0.0723,0.1779,0
ENGINEERING AND RELATED STUDIES,CEn,Civil Engineering,#52818E,0.561,0.8065,0.5
ENGINEERING AND RELATED STUDIES,EEn,Electrical and Electronic Engineering and Technology,#52818E,0.568,0.8415,0.5
ENGINEERING AND RELATED STUDIES,GeE,Geomatic Engineering,#52818E,0.1111,0.2774,0
ENGINEERING AND RELATED STUDIES,MnE,Manufacturing Engineering and Technology,#52818E,0.0622,0.5338,0
ENGINEERING AND RELATED STUDIES,MaE,Maritime Engineering and Technology,#52818E,0.0513,0.8384,0
ENGINEERING AND RELATED STUDIES,MIT,Mechanical and Industrial Engineering and Technology,#52818E,0.4157,0.7809,0
ENGINEERING AND RELATED STUDIES,OEn,Other Engineering and Related Technologies,#52818E,0.5346,0.9526,0.5
ENGINEERING AND RELATED STUDIES,PRE,Process and Resource Engineering,#52818E,0.3924,0.5804,0
"FOOD, HOSPITALITY AND RELATED SERVICES",FaH,Food and Hospitality,#52818E,0.0474,0.9736,0
